"b","xL","x_kappa","x_lambda","xU","converged","message"
-0.49,-1.6242943945816,-0.781467176431966,-0.102558399082486,0.815920619417146,TRUE,"Function criterion near zero"
-0.48,-1.63096403585697,-0.789013720458525,-0.109916311062221,0.81151504420416,TRUE,"Function criterion near zero"
-0.47,-1.6376311219792,-0.796550178557382,-0.117263351687613,0.807137214584003,TRUE,"Function criterion near zero"
-0.46,-1.64429551364783,-0.80407645919992,-0.124599429194389,0.802787200166153,TRUE,"Function criterion near zero"
-0.45,-1.65095707291564,-0.81159247186194,-0.131924452869514,0.798465066694705,TRUE,"Function criterion near zero"
-0.44,-1.65761566319566,-0.819098127035345,-0.139238333063266,0.794170876000441,TRUE,"Function criterion near zero"
-0.43,-1.66427114926889,-0.826593336240951,-0.146540981203105,0.789904685955217,TRUE,"Function criterion near zero"
-0.42,-1.67092339729085,-0.834078012039603,-0.153832309805396,0.785666550426403,TRUE,"Function criterion near zero"
-0.41,-1.67757227480005,-0.84155206804583,-0.161112232489428,0.781456519235753,TRUE,"Function criterion near zero"
-0.4,-1.68421765072423,-0.849015418938507,-0.168380663989013,0.777274638117351,TRUE,"Function criterion near zero"
-0.39,-1.69085939538783,-0.856467980473148,-0.175637520165555,0.773120948678183,TRUE,"Function criterion near zero"
-0.38,-1.69749738051877,-0.863909669493341,-0.182882718019676,0.768995488361256,TRUE,"Function criterion near zero"
-0.37,-1.70413147925587,-0.871340403942792,-0.190116175704236,0.764898290410484,TRUE,"Function criterion near zero"
-0.36,-1.71076156615546,-0.878760102876517,-0.197337812536758,0.760829383836877,TRUE,"Function criterion near zero"
-0.35,-1.71738751719773,-0.886168686471527,-0.204547549009062,0.756788793387662,TRUE,"Function criterion near zero"
-0.34,-1.72400920979426,-0.893566076039132,-0.211745306801802,0.752776539517891,TRUE,"Function criterion near zero"
-0.33,NA,NA,NA,NA,FALSE,"x-values within tolerance 'xtol'"
-0.32,-1.7372393364883,-0.908326964068594,-0.22610457907506,0.744837101715249,TRUE,"Function criterion near zero"
-0.31,-1.74384753262045,-0.915690310917151,-0.233265942955237,0.740909937001549,TRUE,"Function criterion near zero"
-0.3,-1.75045099438799,-0.923042160531882,-0.240415026976802,0.737011147264541,TRUE,"Function criterion near zero"
-0.29,NA,NA,NA,NA,FALSE,"x-values within tolerance 'xtol'"
-0.28,NA,NA,NA,NA,FALSE,"x-values within tolerance 'xtol'"
-0.27,NA,NA,NA,NA,FALSE,"x-values within tolerance 'xtol'"
-0.26,NA,NA,NA,NA,FALSE,"x-values within tolerance 'xtol'"
-0.25,NA,NA,NA,NA,FALSE,"x-values within tolerance 'xtol'"
-0.24,-1.78996598732277,-0.966907820241266,-0.283047698289217,0.714213897614838,TRUE,"Function criterion near zero"
-0.23,NA,NA,NA,NA,FALSE,"x-values within tolerance 'xtol'"
-0.22,NA,NA,NA,NA,FALSE,"x-values within tolerance 'xtol'"
-0.21,-1.80965055949585,-0.988679808078068,-0.304192691973473,0.703197228288035,TRUE,"Function criterion near zero"
-0.2,NA,NA,NA,NA,FALSE,"x-values within tolerance 'xtol'"
-0.19,NA,NA,NA,NA,FALSE,"x-values within tolerance 'xtol'"
-0.18,NA,NA,NA,NA,FALSE,"x-values within tolerance 'xtol'"
-0.17,NA,NA,NA,NA,FALSE,"x-values within tolerance 'xtol'"
-0.16,NA,NA,NA,NA,FALSE,"No better point found (algorithm has stalled)"
-0.15,NA,NA,NA,NA,FALSE,"x-values within tolerance 'xtol'"
