"b","xL","x_kappa","x_lambda","xU","converged","message"
-2.63,-0.454274765857745,0.864173331304403,1.51837564906075,2.12401560292498,TRUE,"Function criterion near zero"
-2.62,-0.45707886907152,0.857328144896756,1.51158675208141,2.11760083516809,TRUE,"Function criterion near zero"
-2.61,-0.459914834745687,0.850467099841231,1.50478247097362,2.11117803227547,TRUE,"Function criterion near zero"
-2.6,-0.462782804678804,0.843590255444524,1.49796286418943,2.10474728381882,TRUE,"Function criterion near zero"
-2.59,-0.465682914337979,0.836697672718938,1.49112799198235,2.09830868118035,TRUE,"Function criterion near zero"
-2.58,-0.468615292787227,0.829789414403879,1.48427791640952,2.09186231755119,TRUE,"Function criterion near zero"
-2.57,-0.471580062609585,0.822865545061595,1.47741270136136,2.0854082879402,TRUE,"Function criterion near zero"
-2.56,-0.474577339909309,0.815926130699049,1.47053241241127,2.07894668911079,TRUE,"Function criterion near zero"
-2.55,-0.477607234169378,0.808971239350263,1.46363711702885,2.07247761966238,TRUE,"Function criterion near zero"
-2.54,-0.4806698482881,0.802000940554715,1.45672688437409,2.06600117994445,TRUE,"Function criterion near zero"
-2.53,-0.483765278505912,0.795015305572287,1.44980178537041,2.05951747208147,TRUE,"Function criterion near zero"
-2.52,-0.486893614380434,0.78801440732861,1.44286189267492,2.05302659995661,TRUE,"Function criterion near zero"
-2.51,-0.490054938760945,0.78099832040127,1.43590728066383,2.04652866920118,TRUE,"Function criterion near zero"
-2.5,-0.49324932776876,0.773967121005406,1.42893802541712,2.04002378718351,TRUE,"Function criterion near zero"
-2.49,-0.496476850783479,0.766920886978593,1.42195420470253,2.0335120629973,TRUE,"Function criterion near zero"
-2.48,-0.49973757043503,0.759859697765198,1.41495589795898,2.02699360744956,TRUE,"Function criterion near zero"
-2.47,-0.503031542601443,0.752783634400086,1.40794318627935,2.0204685330479,TRUE,"Function criterion near zero"
-2.46,-0.506358816412271,0.745692779491764,1.40091615239257,2.01393695398752,TRUE,"Function criterion near zero"
-2.45,-0.509719434257557,0.738587217205024,1.39387488064535,2.0073989861377,TRUE,"Function criterion near zero"
-2.44,-0.513113431802259,0.731467033243026,1.3868194569832,2.00085474702782,TRUE,"Function criterion near zero"
-2.43,-0.516540838006017,0.72433231482886,1.37974996893098,1.99430435583302,TRUE,"Function criterion near zero"
-2.42,-0.520001675148135,0.717183150686719,1.37266650557299,1.98774793335952,TRUE,"Function criterion near zero"
